"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"updated_time";"error.message"
"1070932163028885_624793536462499";"2";"1";"1";"1070932163028885_624793536462499";"data";"data.*";"fetched (200)";"2023-10-26 13:35:29.178499";"Facebook:/<page-id>/posts";"Contágiate del ritmo y de la cultura #AfroColombia con nosotros en el primer capítulo de #Cuchicheo 🗣👤🔊. Únete a la charla con Tostao y el tiktoker Lucho Dario mientras exploramos el impacto de la música en nuestra identidad.  ¡Prepárate para moverte al compás de las historias enriquecedoras! 🎶 Sintoniza en YouTube y descubre más enlaces entre notas y tradiciones 👉🏾 https://youtu.be/lsId3AoZhbc .   No olvides suscribirte para no perderte ni un solo episodio emocionante en el canal de YouTube de USAID Colombia: https://www.youtube.com/@USAIDColombiaVideo .  ¡Acompáñanos a cuchichear! ✨  USAID Colombia #ACDIVOCA_Colombia #JuntanzaÉtnica  La Escuela Digital Daniel Samper Ospina Cimarrón Producciones";"2023-08-23T23:40:04+0000";"2023-08-31T14:59:12+0000";""
"1070932163028885_624793536462499/1070932163028885_624793536462499";"27";"2";"2";"1070932163028885_624793536462499";"data";"data.*";"fetched (200)";"2023-10-26 13:37:34.054392";"Facebook:/<post-id>/comments";"Siempre he querido saber la diferencia entre afro y negro";"2023-08-28T13:50:18+0000";"";""
"1070932163028885_624793536462499/1070932163028885_624793536462499/1070932163028885_624793536462499";"28";"2";"2";"1070932163028885_624793536462499";"data";"data.*";"fetched (200)";"2023-10-26 13:37:34.054392";"Facebook:/<post-id>/comments";"Tema extraordinario.";"2023-08-26T22:47:20+0000";"";""
"1070932163028885_624793536462499/1070932163028885_624793536462499/1070932163028885_624793536462499";"29";"2";"2";"1070932163028885_624793536462499";"data";"data.*";"fetched (200)";"2023-10-26 13:37:34.054392";"Facebook:/<post-id>/comments";"excelente  trabajo....";"2023-08-26T13:31:55+0000";"";""
"1070932163028885_624793536462499/1070932163028885_624793536462499/1070932163028885_624793536462499";"30";"2";"2";"1070932163028885_624793536462499";"data";"data.*";"fetched (200)";"2023-10-26 13:37:34.054392";"Facebook:/<post-id>/comments";"👍👍👍👍👏👏👏👏👏";"2023-08-26T22:41:55+0000";"";""
"1070932163028885_624793536462499/1070932163028885_624793536462499/1070932163028885_624793536462499";"31";"2";"2";"1070932163028885_624793536462499";"data";"data.*";"fetched (200)";"2023-10-26 13:37:34.054392";"Facebook:/<post-id>/comments";"";"2023-08-31T14:59:12+0000";"";""
"1070932163028885_624793536462499/1070932163028885_624793536462499/1070932163028885_624793536462499";"32";"2";"2";"1070932163028885_624793536462499";"data";"data.*";"fetched (200)";"2023-10-26 13:37:34.054392";"Facebook:/<post-id>/comments";"";"2023-08-26T12:20:02+0000";"";""
"1070932163028885_624793536462499/1070932163028885_624793536462499/1070932163028885_624793536462499";"33";"2";"2";"1070932163028885_624793536462499";"offcut";"";"fetched (200)";"2023-10-26 13:37:34.054392";"Facebook:/<post-id>/comments";"";"";"";""
"1070932163028885_624793536462499/1070932163028885_622363276705525";"11";"1";"1";"1070932163028885_622363276705525";"data";"data.*";"fetched (200)";"2023-10-26 13:35:29.178499";"Facebook:/<page-id>/posts";"🎧🗣️ ¡ Daniel Samper Ospina ya le subió el volumen al #Cuchicheo! y ¿tú? No te quedes atrás, y súbele el volumen a este emocionante podcast, déjate llevar por las voces poderosas de tres mujeres extraordinarias mientras conversan sobre #AfroColombia💬💪   Bertha Medrano Cancio  #MayraLuna Kendry Serrano  No te pierdas el primer capítulo lleno de sorpresas con los increíbles invitados Tostao y Lucho Dario 🎙️🎉 https://youtu.be/lsId3AoZhbc  ¡Prepárate para una experiencia cargada de música y conocimiento ancestral! 🎶💥  USAID Colombia  #ACDIVOCA_Colombia #JuntanzaÉtnica La Escuela Digital  Cimarrón Producciones";"2023-08-18T20:53:38+0000";"2023-08-19T13:50:47+0000";""
"1070932163028885_624793536462499/1070932163028885_622363276705525/1070932163028885_622363276705525";"34";"11";"2";"1070932163028885_622363276705525";"data";"data.*";"fetched (200)";"2023-10-26 13:37:50.678291";"Facebook:/<post-id>/comments";"Mucho poder";"2023-08-19T13:50:47+0000";"";""
"1070932163028885_624793536462499/1070932163028885_622363276705525/1070932163028885_622363276705525";"35";"11";"2";"1070932163028885_622363276705525";"offcut";"";"fetched (200)";"2023-10-26 13:37:50.678291";"Facebook:/<post-id>/comments";"";"";"";""
"1070932163028885_624793536462499/1070932163028885_620962640178922";"22";"1";"1";"1070932163028885_620962640178922";"data";"data.*";"fetched (200)";"2023-10-26 13:35:29.178499";"Facebook:/<page-id>/posts";"Conoce a Bertha Medrano una de las anfitrionas de nuestro Cuchicheo. #AfroColombia  El miércoles 16 de agosto a las 5:00 p.m. tenemos una cita para hablar de #AfroColombia    ¡Acompáñanos a subirle el volumen al Cuchicheo!🔊  USAID Colombia  #ACDIVOCA_Colombia #JuntanzaÉtnica   La Escuela Digital";"2023-08-15T21:40:17+0000";"2023-08-16T01:37:34+0000";""
"1070932163028885_624793536462499/1070932163028885_620962640178922/1070932163028885_620962640178922";"36";"22";"2";"1070932163028885_620962640178922";"data";"data.*";"fetched (200)";"2023-10-26 13:37:51.006487";"Facebook:/<post-id>/comments";"Dtg siempre";"2023-08-16T01:37:34+0000";"";""
"1070932163028885_624793536462499/1070932163028885_620962640178922/1070932163028885_620962640178922";"37";"22";"2";"1070932163028885_620962640178922";"offcut";"";"fetched (200)";"2023-10-26 13:37:51.006487";"Facebook:/<post-id>/comments";"";"";"";""
