Region,area,Total,TasaXenofobia,TasaEducacion,TasaSalud,TasaTrabajo,TasaSeguridad,Xenofobia,Educacion,Salud,Trabajo,Seguridad
Bogota,11,18134,14.872615,2.2499173,18.396383,5.8950038,15.925885,2697,408,3336,1069,2888
Antioquia,5,3908,15.839304,1.8679632,12.691914,5.0921187,15.583419,619,73,496,199,609
Valle del Cauca,76,2145,19.953381,1.5384616,17.296038,4.7086248,14.312354,428,33,371,101,307
Atlántico,8,1494,15.796519,2.6104417,12.516733,6.4926372,15.261045,236,39,187,97,228
Santander,68,1101,14.441417,2.8156221,15.985468,4.7229791,13.351499,159,31,176,52,147
Norte de Santander,54,980,8.0612249,3.4693878,10.204082,4.7959185,18.265306,79,34,100,47,179
Bolívar,13,724,7.3204422,1.9337016,13.674033,9.2541437,12.154696,53,14,99,67,88
Magdalena,47,379,14.511873,1.8469657,13.720317,4.7493405,23.746702,55,7,52,18,90
Risaralda,66,345,14.492754,1.1594203,17.68116,3.4782608,14.492754,50,4,61,12,50
Meta,50,308,20.779221,2.9220779,15.909091,5.5194807,18.181818,64,9,49,17,56
Cesar,20,297,12.457912,2.3569024,17.845118,2.0202019,21.885521,37,7,53,6,65
Tolima,73,240,17.083334,2.9166667,19.583334,7.5,20.416666,41,7,47,18,49
Córdoba,23,232,11.206897,.86206895,16.810345,4.7413793,23.275862,26,2,39,11,54
Boyacá,15,224,4.9107141,4.0178571,13.839286,3.5714285,25,11,9,31,8,56
Caldas,17,183,11.47541,2.1857924,15.846994,6.0109291,14.20765,21,4,29,11,26
Cundinamarca,25,167,22.155689,2.9940119,20.359282,9.5808382,21.556887,37,5,34,16,36
Nariño,52,156,12.179487,1.9230769,12.820513,5.7692308,14.102564,19,3,20,9,22
La Guajira,44,137,9.4890509,.729927,12.408759,2.189781,14.59854,13,1,17,3,20
Quindío,63,122,21.311476,1.6393442,29.508196,7.377049,15.573771,26,2,36,9,19
Arauca,81,115,2.6086957,.86956519,7.826087,5.2173915,26.956522,3,1,9,6,31
Huila,41,114,14.912281,2.6315789,14.035088,3.5087719,11.403509,17,3,16,4,13
Casanare,85,105,3.8095238,,9.5238094,9.5238094,26.666666,4,,10,10,28
Sucre,70,79,20.253164,5.0632911,18.987341,3.7974684,13.92405,16,4,15,3,11
Cauca,19,78,11.538462,3.8461537,12.820513,7.6923075,26.923077,9,3,10,6,21
Chocó,27,22,4.5454545,18.181818,36.363636,4.5454545,22.727272,1,4,8,1,5
Caquetá,18,15,20,13.333333,,13.333333,,3,2,,2,
San Andrés y Providencia,88,14,28.571428,,7.1428571,,7.1428571,4,,1,,1
Guaviare,95,3,66.666664,,33.333332,,33.333332,2,,1,,1
Putumayo,86,2,100,,,,50,2,,,,1
